source_label,source_mode,title,url,drop_reason
Free Malaysia Today,direct_seed,Johor PKR prepared to negotiate seats with Umno for state polls,https://www.freemalaysiatoday.com/category/nation/2026/04/06/johor-pkr-prepared-to-negotiate-seats-with-umno-for-state-polls,not_articleish
Free Malaysia Today,direct_seed,No extension for pharmacists who have reached maximum tenure,https://www.freemalaysiatoday.com/category/nation/2026/04/06/no-extension-for-pharmacists-who-have-reached-maximum-tenure,not_articleish
Free Malaysia Today,direct_seed,MACC to apply for red notice against Daim’s 2 sons over no-show,https://www.freemalaysiatoday.com/category/nation/2026/04/06/macc-to-apply-for-red-notice-against-daims-2-sons-over-no-show,not_articleish
Free Malaysia Today,direct_seed,Sunway’s takeover offer for IJM lapses,https://www.freemalaysiatoday.com/category/nation/2026/04/06/sunways-takeover-offer-for-ijm-lapses,not_articleish
Free Malaysia Today,direct_seed,Daim’s daughter to face asset declaration charge tomorrow,https://www.freemalaysiatoday.com/category/nation/2026/04/06/daims-daughter-to-face-asset-declaration-charge-tomorrow,not_articleish
Free Malaysia Today,direct_seed,Anwar praises Ling’s contributions to nation,https://www.freemalaysiatoday.com/category/nation/2026/04/06/anwar-praises-lings-contributions-to-nation,not_articleish
Free Malaysia Today,direct_seed,Trailer driver in Segamat crash to be charged with murder,https://www.freemalaysiatoday.com/category/nation/2026/04/06/trailer-driver-in-segamat-crash-to-be-charged-with-murder,not_articleish
Free Malaysia Today,direct_seed,FMM says 90% industry players to see supply chain disruptions within 2 weeks,https://www.freemalaysiatoday.com/category/nation/2026/04/06/fmm-says-90-industry-players-see-supply-chain-disruptions-within-2-weeks,not_articleish
Free Malaysia Today,direct_seed,Iran says it won’t forget friends as M’sian vessel sails through Hormuz strait,https://www.freemalaysiatoday.com/category/nation/2026/04/06/iran-says-it-wont-forget-friends-as-msian-vessel-clears-hormuz,not_articleish
Free Malaysia Today,direct_seed,Woman dies after collapsing in Tanjung Tokong hotel room,https://www.freemalaysiatoday.com/category/nation/2026/04/06/woman-dies-after-collapsing-in-tanjung-tokong-hotel-room,not_articleish
Free Malaysia Today,direct_seed,Visit Malaysia 2026 campaign to be extended to 2027,https://www.freemalaysiatoday.com/category/nation/2026/04/06/visit-malaysia-2026-campaign-to-be-extended-to-2027,not_articleish
Free Malaysia Today,direct_seed,Indira’s lawyers ‘appalled’ by police failure to obtain info on ex-husband,https://www.freemalaysiatoday.com/category/nation/2026/04/06/indiras-lawyers-appalled-by-police-failure-to-obtain-info-on-ex-husband,not_articleish
Free Malaysia Today,direct_seed,Selangor to review 2026 budget amid war-driven economic risks,https://www.freemalaysiatoday.com/category/nation/2026/04/06/selangor-to-review-2026-budget-amid-war-driven-economic-risks,not_articleish
Free Malaysia Today,direct_seed,Ex-babysitter jailed 5 years for death of baby at nursery,https://www.freemalaysiatoday.com/category/nation/2026/04/06/ex-babysitter-jailed-5-years-for-death-of-baby-at-nursery,not_articleish
Free Malaysia Today,direct_seed,UK law firm denies wrongdoing amid 1MDB-Petro Saudi probe,https://www.freemalaysiatoday.com/category/nation/2026/04/06/uk-law-firm-denies-wrongdoing-amid-1mdb-petro-saudi-probe,not_articleish
Free Malaysia Today,direct_seed,Hajiji hopes Sabah-Putrajaya talks will proceed after appeal court ruling,https://www.freemalaysiatoday.com/category/nation/2026/04/06/hajiji-hopes-sabah-putrajaya-talks-will-proceed-after-appeal-court-ruling,not_articleish
Free Malaysia Today,direct_seed,"Live our heritage to preserve it, says Tunku Azizah",https://www.freemalaysiatoday.com/category/nation/2026/04/06/live-our-heritage-to-preserve-it-says-tunku-azizah,not_articleish
Free Malaysia Today,direct_seed,57 ex-civil servants seek to overturn ruling on pension adjustment,https://www.freemalaysiatoday.com/category/nation/2026/04/06/57-ex-civil-servants-seek-to-overturn-ruling-on-pension-adjustment,not_articleish
Free Malaysia Today,direct_seed,"Facebook user admits Fahmi did not give political speech in mosque, regrets post",https://www.freemalaysiatoday.com/category/nation/2026/04/06/fauzan-admits-fahmi-gave-no-political-speech-in-mosque-regrets-post,not_articleish
